modbat.test.NoSelfJoin ,1
modbat.test.JoinNull ,1
modbat.test.ForkJoin ,1
modbat.test.ForkJoin2 ,1
--loop-limit=4 ,1
modbat.test.CrashSoon ,1
modbat.test.ChooseBool ,1
--loop-limit=50 ,1
modbat.test.PredActions ,1
modbat.test.PreCond ,1
modbat.test.WeightedTest ,1
modbat.test.WeightedTest2 ,1
modbat.test.WeightedTestWFrac ,1
modbat.test.GenLabel2 ,1
modbat.test.SubClassModel ,1
modbat.test.ObserverHarness ,1
modbat.test.ObserverHarness2 ,1
modbat.test.ObserverHarness3 ,1
modbat.test.TestObserver ,1
modbat.test.ObserverHarness4 ,1
modbat.test.ObserverHarness5 ,1
modbat.test.ObserverHarness6 ,1
modbat.test.ObserverHarness7 ,1
-n=4 ,1
--precond-as-failure ,1
modbat.test.ConcurrentModel ,1
modbat.examples.CounterPosNeg ,1
